YEAR,QUARTER,HCAI
2000,1,14.764
2000,2,14.154
2000,3,13.524
2000,4,13.412
2001,1,12.966
2001,2,12.511
2001,3,12.272
2001,4,12.12
2002,1,12.211
2002,2,12.334
2002,3,12.163
2002,4,12.014
2003,1,12.258
2003,2,12.204
2003,3,12.131
2003,4,13.444
2004,1,14.27
2004,2,14.39
2004,3,15.572
2004,4,15.516
2005,1,15.672
2005,2,15.849
2005,3,15.563
2005,4,16.37
2006,1,16.943
2006,2,16.711
2006,3,16.735
2006,4,16.863
2007,1,14.849
2007,2,10.993
2007,3,10.044
2007,4,9.821
2008,1,8.125
2008,2,6.255
2008,3,6.172
2008,4,6.577
2009,1,6.687
2009,2,6.524
2009,3,6.749
2009,4,7.219
2010,1,7.386
2010,2,7.528
2010,3,7.329
2010,4,6.947
2011,1,6.781
2011,2,6.686
2011,3,6.8
2011,4,6.974
2012,1,6.984
2012,2,6.755
2012,3,6.558
2012,4,6.471
2013,1,5.831
2013,2,5.451
2013,3,5.227
2013,4,5.172
2014,1,5.115
2014,2,5.148
2014,3,5.136
2014,4,5.345
2015,1,5.458
2015,2,5.25
2015,3,5.47
2015,4,5.624
2016,1,5.971
2016,2,5.909
2016,3,5.837
2016,4,5.942
2017,1,6.082
2017,2,6.482
2017,3,6.443
2017,4,6.391
2018,1,6.213
2018,2,5.992
2018,3,5.806
2018,4,5.861
2019,1,5.981
2019,2,5.805
2019,3,5.515
2019,4,5.316
2020,1,5.3
2020,2,5.137
2020,3,4.989
