DATE,LFWA64TTUSM647S
1977-01-01,135237302.534257
1977-02-01,135433456.202793
1977-03-01,135637969.547932
1977-04-01,135777998.579144
1977-05-01,136111927.804627
1977-06-01,136275040.908992
1977-07-01,136564947.201168
1977-08-01,136709074.081168
1977-09-01,136884409.28511003
1977-10-01,137161868.374048
1977-11-01,137298717.758677
1977-12-01,137429341.977011
1978-01-01,137649366.38644
1978-02-01,137894649.124089
1978-03-01,138047323.902139
1978-04-01,138161011.670178
1978-05-01,138352230.82094598
1978-06-01,138596157.02934998
1978-07-01,138840684.45870802
1978-08-01,138971200.962244
1978-09-01,139167785.627176
1978-10-01,139392778.20692602
1978-11-01,139561910.209723
1978-12-01,139771425.030568
1979-01-01,140010460.106025
1979-02-01,140222892.58917102
1979-03-01,140431966.783076
1979-04-01,140490908.28956702
1979-05-01,140735370.622081
1979-06-01,141077014.547156
1979-07-01,141193168.113902
1979-08-01,141351942.460585
1979-09-01,141455768.63095102
1979-10-01,141674429.15107498
1979-11-01,141881515.099316
1979-12-01,142012112.347016
1980-01-01,142283931.153374
1980-02-01,142426046.267156
1980-03-01,142646159.428502
1980-04-01,142880563.484551
1980-05-01,143323674.867225
1980-06-01,143629555.138507
1980-07-01,143766312.16373
1980-08-01,144031411.278922
1980-09-01,144030009.45773798
1980-10-01,144076589.626394
1980-11-01,144206857.4139
1980-12-01,144230261.207456
1981-01-01,144336167.44727
1981-02-01,144422186.340182
1981-03-01,144554259.626412
1981-04-01,144677223.038152
1981-05-01,144943685.528662
1981-06-01,145402380.057189
1981-07-01,145390930.33871102
1981-08-01,145508454.61153
1981-09-01,145546047.457868
1981-10-01,145775289.045005
1981-11-01,146002370.591412
1981-12-01,146190881.301482
1982-01-01,146038301.453135
1982-02-01,146103150.86041802
1982-03-01,146254329.107124
1982-04-01,146501298.26891398
1982-05-01,146725447.97668502
1982-06-01,146967368.428944
1982-07-01,147023385.807877
1982-08-01,147159765.029094
1982-09-01,147336377.308006
1982-10-01,147565740.99548802
1982-11-01,147678133.891264
1982-12-01,147861546.11994898
1983-01-01,147399522.38841
1983-02-01,147517919.651753
1983-03-01,147825924.98755002
1983-04-01,148158297.0241
1983-05-01,148338577.139592
1983-06-01,148191041.25251698
1983-07-01,148375678.517698
1983-08-01,148521546.530164
1983-09-01,148690339.408943
1983-10-01,148871194.11451
1983-11-01,148893919.745857
1983-12-01,149039400.039228
1984-01-01,149135533.685848
1984-02-01,149264811.608733
1984-03-01,149432632.952492
1984-04-01,149611460.915604
1984-05-01,149687549.993556
1984-06-01,149807540.087917
1984-07-01,149960997.314022
1984-08-01,150079620.926653
1984-09-01,150268255.054822
1984-10-01,150340378.524649
1984-11-01,150472714.001226
1984-12-01,150689423.100747
1985-01-01,150530610.377235
1985-02-01,150679848.85275
1985-03-01,150803144.11357498
1985-04-01,150939083.401104
1985-05-01,150993146.72300902
1985-06-01,151281600.350861
1985-07-01,151294833.244356
1985-08-01,151395208.388243
1985-09-01,151483358.60404402
1985-10-01,151628838.09785601
1985-11-01,151771276.610071
1985-12-01,151940705.417141
1986-01-01,152280851.916935
1986-02-01,152452477.997021
1986-03-01,152598203.462626
1986-04-01,152761679.274874
1986-05-01,152924009.431978
1986-06-01,153049717.430728
1986-07-01,153140467.577161
1986-08-01,153286591.253709
1986-09-01,153449196.471975
1986-10-01,153574775.37357602
1986-11-01,153745014.74245
1986-12-01,153807176.149941
1987-01-01,153837025.24122402
1987-02-01,154052701.44484398
1987-03-01,154190915.197474
1987-04-01,154349964.017371
1987-05-01,154527505.971632
1987-06-01,154683999.057498
1987-07-01,154719768.93878502
1987-08-01,154818463.083981
1987-09-01,154923527.306508
1987-10-01,155026399.01389498
1987-11-01,155186516.019319
1987-12-01,155251334.54374
1988-01-01,155404083.562397
1988-02-01,155487923.07900098
1988-03-01,155624523.150425
1988-04-01,155640903.16184798
1988-05-01,155840670.617791
1988-06-01,155975363.737059
1988-07-01,156063071.607409
1988-08-01,156130006.145248
1988-09-01,156289156.361462
1988-10-01,156423640.703955
1988-11-01,156519693.63324198
1988-12-01,156640325.961786
1989-01-01,156746529.020782
1989-02-01,156826139.042871
1989-03-01,156864791.66665
1989-04-01,156920918.815696
1989-05-01,156982164.34029
1989-06-01,156997810.552166
1989-07-01,157134220.85522
1989-08-01,157269226.336444
1989-09-01,157658415.219486
1989-10-01,157681621.136355
1989-11-01,157813455.615902
1989-12-01,157924257.28118998
1990-01-01,159248814.326624
1990-02-01,159384325.51852402
1990-03-01,159422005.237715
1990-04-01,159536339.219256
1990-05-01,159593337.885612
1990-06-01,159716179.156614
1990-07-01,159802496.525994
1990-08-01,159971433.49141902
1990-09-01,160222913.16866198
1990-10-01,160239421.881463
1990-11-01,160493276.670344
1990-12-01,160678660.728155
1991-01-01,160538512.03635398
1991-02-01,160715591.17632198
1991-03-01,160922015.867708
